Player,GP,PTS,FG%,3P%,FT%,OREB,DREB,REB,AST,STL,TO,PF
Lindsey Hunter,33,3.5,34.3%,28%,62.5%,0.4,1.6,2,2.6,1.2,1,1.4
Corliss Williamson,79,9.5,50.5%,,73.1%,1.1,2.1,3.2,0.7,0.4,1.4,2.6
Rasheed Wallace,68,16,43.6%,33.1%,73.6%,1.5,5.3,6.8,2.3,0.9,1.8,2.8
Elden Campbell,65,5.6,43.9%,,68.5%,0.8,2.4,3.2,0.7,0.3,1,2.1
Darvin Ham,54,1.8,49.3%,50%,60%,0.9,0.9,1.7,0.3,0.2,0.6,1.2
Ben Wallace,81,9.5,42.1%,12.5%,49%,4,8.4,12.4,1.7,1.8,1.5,2
Chauncey Billups,78,16.9,39.4%,38.8%,87.8%,0.4,3.1,3.5,5.7,1.1,2.4,2.3
Tremaine Fowlkes,36,1.2,31.3%,12.5%,72.2%,0.5,1,1.5,0.4,0.3,0.3,1
Richard Hamilton,78,17.6,45.5%,26.5%,86.8%,1,2.6,3.6,4,1.3,2.7,2.8
Mike James,81,9.3,41.4%,37.7%,81.1%,0.3,2.5,2.9,4.2,1.2,1.5,1.9
Mehmet Okur,71,9.6,46.3%,37.5%,77.5%,2.3,3.7,5.9,1,0.5,1.4,1.9
Tayshaun Prince,82,10.3,46.7%,36.3%,76.6%,1.1,3.6,4.8,2.3,0.8,1.5,1.8
Darko Milicic,34,1.4,26.2%,,58.3%,0.3,0.9,1.3,0.2,0.2,0.4,1
